visit_places,rating,visit_place_summary,best_time,state_name,no_of_turist_attration,tokenized_summary
rajmachi,4.2,rajmachi small village situated sahyadri mountain range konkan region maharashtra rajmachi famous historical fortress two fortified peaks shrivardhan manaranjan forts located near two famous hills lonavala khandala,june to september,maharashtra,,"['rajmachi', 'small', 'village', 'situated', 'sahyadri', 'mountain', 'range', 'konkan', 'region', 'maharashtra', 'rajmachi', 'famous', 'historical', 'fortress', 'two', 'fortified', 'peaks', 'shrivardhan', 'manaranjan', 'forts', 'located', 'near', 'two', 'famous', 'hills', 'lonavala', 'khandala']"
lonavala,4.1,situated sahyadri range western ghats close pune mumbai lonavala visited hill station maharashtra place monsoons lots waterfalls lakes hills around popular destination camping trekking,throughout the year,maharashtra,41,"['situated', 'sahyadri', 'range', 'western', 'ghats', 'close', 'pune', 'mumbai', 'lonavala', 'visited', 'hill', 'station', 'maharashtra', 'place', 'monsoons', 'lots', 'waterfalls', 'lakes', 'hills', 'around', 'popular', 'destination', 'camping', 'trekking']"
alibaug,3.9,alibaug also spelled alibag small coastal town konkan region maharashtra known beaches villas beautiful scenery alibag popular weekend getaway cities mumbai pune,november to march,maharashtra,29,"['alibaug', 'also', 'spelled', 'alibag', 'small', 'coastal', 'town', 'konkan', 'region', 'maharashtra', 'known', 'beaches', 'villas', 'beautiful', 'scenery', 'alibag', 'popular', 'weekend', 'getaway', 'cities', 'mumbai', 'pune']"
khandala,3.8,khandala popular hill station maharashtra perched foothills sahyadri western ghats khandala provides perfect weekend respite mumbai population scenic valleys grassy hills serene lakes misty waterfalls,throughout the year,maharashtra,22,"['khandala', 'popular', 'hill', 'station', 'maharashtra', 'perched', 'foothills', 'sahyadri', 'western', 'ghats', 'khandala', 'provides', 'perfect', 'weekend', 'respite', 'mumbai', 'population', 'scenic', 'valleys', 'grassy', 'hills', 'serene', 'lakes', 'misty', 'waterfalls']"
tarkarli,4.5,tarkarli famous long narrow stretch beach pristine water white sand course singhudurg maharashtras popular sea fort,october to march,maharashtra,20,"['tarkarli', 'famous', 'long', 'narrow', 'stretch', 'beach', 'pristine', 'water', 'white', 'sand', 'course', 'singhudurg', 'maharashtras', 'popular', 'sea', 'fort']"
kashid,4.3,beach town popular white sand blue seas situated konkan region maharashtra kashid perfect destination quiet weekend getaway mumbai,october to march,maharashtra,7,"['beach', 'town', 'popular', 'white', 'sand', 'blue', 'seas', 'situated', 'konkan', 'region', 'maharashtra', 'kashid', 'perfect', 'destination', 'quiet', 'weekend', 'getaway', 'mumbai']"
nashik,4.0,nasik religious hindu city host kumbh mela every 12 years also makes perfect wine tasting destination nashik nasik named relic associated ramayana city maharashtra located banks river godavari nashik plays host famous kumbh mela,july to march,maharashtra,39,"['nasik', 'religious', 'hindu', 'city', 'host', 'kumbh', 'mela', 'every', '12', 'years', 'also', 'makes', 'perfect', 'wine', 'tasting', 'destination', 'nashik', 'nasik', 'named', 'relic', 'associated', 'ramayana', 'city', 'maharashtra', 'located', 'banks', 'river', 'godavari', 'nashik', 'plays', 'host', 'famous', 'kumbh', 'mela']"
aurangabad,3.8,aurangabad declared government tourism capital maharashtra back 2010 famous tourist hub greets visitors richly woven tapestry sights sounds city got name erstwhile capital mughal emperor aurangzeb 17th cent,october to march,maharashtra,37,"['aurangabad', 'declared', 'government', 'tourism', 'capital', 'maharashtra', 'back', '2010', 'famous', 'tourist', 'hub', 'greets', 'visitors', 'richly', 'woven', 'tapestry', 'sights', 'sounds', 'city', 'got', 'name', 'erstwhile', 'capital', 'mughal', 'emperor', 'aurangzeb', '17th', 'cent']"
pune,4.1,pune bustling metropolis maharashtra ranked number one india ease living often referred oxford east hub diverse people activities rapidly growing one top metropolitan cities country pune city pe,july to march,maharashtra,83,"['pune', 'bustling', 'metropolis', 'maharashtra', 'ranked', 'number', 'one', 'india', 'ease', 'living', 'often', 'referred', 'oxford', 'east', 'hub', 'diverse', 'people', 'activities', 'rapidly', 'growing', 'one', 'top', 'metropolitan', 'cities', 'country', 'pune', 'city', 'pe']"
ganpatipule,4.3,beach town konkan coastline ganpatipule temples lord ganesha major attractions apart beautiful virgin beaches,november to february,maharashtra,9,"['beach', 'town', 'konkan', 'coastline', 'ganpatipule', 'temples', 'lord', 'ganesha', 'major', 'attractions', 'apart', 'beautiful', 'virgin', 'beaches']"
matheran,4.3,nestled amidst sahyadri range western ghats matheran cosy little hill station stands elevation 2600 feet sea level 100 kilometres away mumbai making perfect weekend getaway name literally translating “ overhead forest ” mathe,throughout the year,maharashtra,29,"['nestled', 'amidst', 'sahyadri', 'range', 'western', 'ghats', 'matheran', 'cosy', 'little', 'hill', 'station', 'stands', 'elevation', '2600', 'feet', 'sea', 'level', '100', 'kilometres', 'away', 'mumbai', 'making', 'perfect', 'weekend', 'getaway', 'name', 'literally', 'translating', '“', 'overhead', 'forest', '”', 'mathe']"
raigad,4.4,raigad historically rich district situated konkan region maharashtra located 2851mts surrounded mumbai harbour thane pune ratnagiri arabian sea,november to march,maharashtra,5,"['raigad', 'historically', 'rich', 'district', 'situated', 'konkan', 'region', 'maharashtra', 'located', '2851mts', 'surrounded', 'mumbai', 'harbour', 'thane', 'pune', 'ratnagiri', 'arabian', 'sea']"
amboli,4.8,amboli lies sahyadri hills sindhudurg district maharashtra last hill station maharashtra plains goa begin relatively unexplored one,june to september,maharashtra,6,"['amboli', 'lies', 'sahyadri', 'hills', 'sindhudurg', 'district', 'maharashtra', 'last', 'hill', 'station', 'maharashtra', 'plains', 'goa', 'begin', 'relatively', 'unexplored', 'one']"
tadoba national park,3.9,famous natural heritage tadoba andhari tiger reserve definitely one indias exciting best protected tiger reserve visible tiger sightings state maharashtra,october to march,maharashtra,6,"['famous', 'natural', 'heritage', 'tadoba', 'andhari', 'tiger', 'reserve', 'definitely', 'one', 'indias', 'exciting', 'best', 'protected', 'tiger', 'reserve', 'visible', 'tiger', 'sightings', 'state', 'maharashtra']"
kamshet,4.3,kamshet picturesque hill station western ghats renowned paragliding flying schools surrounded western ghats place regularly featured top 10 must visit destinations india adventurous junkie,october to june,maharashtra,7,"['kamshet', 'picturesque', 'hill', 'station', 'western', 'ghats', 'renowned', 'paragliding', 'flying', 'schools', 'surrounded', 'western', 'ghats', 'place', 'regularly', 'featured', 'top', '10', 'must', 'visit', 'destinations', 'india', 'adventurous', 'junkie']"
durshet,2.5,durshet little village found banks river amba nestled sahyadri ranges maharashtra due proximity mumbai pune serves weekend getaway people move away crowded cities,september to february,maharashtra,7,"['durshet', 'little', 'village', 'found', 'banks', 'river', 'amba', 'nestled', 'sahyadri', 'ranges', 'maharashtra', 'due', 'proximity', 'mumbai', 'pune', 'serves', 'weekend', 'getaway', 'people', 'move', 'away', 'crowded', 'cities']"
bhimashankar,4.1,bhimashankar located 100 km pune 223 km mumbai popular temple town among one twelve traditional jyotilingam shrines lord shiva india,november to february,maharashtra,5,"['bhimashankar', 'located', '100', 'km', 'pune', '223', 'km', 'mumbai', 'popular', 'temple', 'town', 'among', 'one', 'twelve', 'traditional', 'jyotilingam', 'shrines', 'lord', 'shiva', 'india']"
nagpur,4.0,commonly associated delectable juicy varieties oranges nagpur also winter capital maharashtra temples lush green gardens lakes connectivity main cities along rich cultural heritage enchant visitors,october to march,maharashtra,37,"['commonly', 'associated', 'delectable', 'juicy', 'varieties', 'oranges', 'nagpur', 'also', 'winter', 'capital', 'maharashtra', 'temples', 'lush', 'green', 'gardens', 'lakes', 'connectivity', 'main', 'cities', 'along', 'rich', 'cultural', 'heritage', 'enchant', 'visitors']"
malvan,4.3,malvan culturally historically important town sindhudurg district maharashtra well known historically sindhudurg fort chatrapati shivajiraje culturally famous mouthwatering malvani seafood sweetsmalvan also known beaches ar,november to march,maharashtra,23,"['malvan', 'culturally', 'historically', 'important', 'town', 'sindhudurg', 'district', 'maharashtra', 'well', 'known', 'historically', 'sindhudurg', 'fort', 'chatrapati', 'shivajiraje', 'culturally', 'famous', 'mouthwatering', 'malvani', 'seafood', 'sweetsmalvan', 'also', 'known', 'beaches', 'ar']"
kolhapur,4.0,kolhapur situated banks river panchaganga southwest region maharashtra situated 230 kilometres away pune kolhapur one princely states boasts rich legacy dating back times marathas presently kolhapur known kolhapu,july to february,maharashtra,30,"['kolhapur', 'situated', 'banks', 'river', 'panchaganga', 'southwest', 'region', 'maharashtra', 'situated', '230', 'kilometres', 'away', 'pune', 'kolhapur', 'one', 'princely', 'states', 'boasts', 'rich', 'legacy', 'dating', 'back', 'times', 'marathas', 'presently', 'kolhapur', 'known', 'kolhapu']"
karjat,3.4,karjat quaint little village last station thane district maharashtra river ulhas finds origin karjat trekking historical spots make popular destination trekkers adventure enthusiasts,june to september,maharashtra,11,"['karjat', 'quaint', 'little', 'village', 'last', 'station', 'thane', 'district', 'maharashtra', 'river', 'ulhas', 'finds', 'origin', 'karjat', 'trekking', 'historical', 'spots', 'make', 'popular', 'destination', 'trekkers', 'adventure', 'enthusiasts']"
igatpuri,4.3,igatpuri hill station city western ghats located nashik district maharashtra 130kms mumbai located mumbaiagra national highway igatpuri heaven nature lovers also highest peaks sahyadri range,july to september,maharashtra,14,"['igatpuri', 'hill', 'station', 'city', 'western', 'ghats', 'located', 'nashik', 'district', 'maharashtra', '130kms', 'mumbai', 'located', 'mumbaiagra', 'national', 'highway', 'igatpuri', 'heaven', 'nature', 'lovers', 'also', 'highest', 'peaks', 'sahyadri', 'range']"
diveagar,3.9,gleaming white sand pristine blue water swaying coconut palms betel nut trees gentle breeze producing serene calming effect dream enchanting place called diveagar,october to march,maharashtra,20,"['gleaming', 'white', 'sand', 'pristine', 'blue', 'water', 'swaying', 'coconut', 'palms', 'betel', 'nut', 'trees', 'gentle', 'breeze', 'producing', 'serene', 'calming', 'effect', 'dream', 'enchanting', 'place', 'called', 'diveagar']"
suryamal,3.5,suryamal highest peak region located thane district maharashtra small beautiful hill popular place among people sheer breathtaking views seen hilltop,september to may,maharashtra,2,"['suryamal', 'highest', 'peak', 'region', 'located', 'thane', 'district', 'maharashtra', 'small', 'beautiful', 'hill', 'popular', 'place', 'among', 'people', 'sheer', 'breathtaking', 'views', 'seen', 'hilltop']"
harihareshwar,4.0,surrounded four hills river savitri flowing town harihareshwar famous temple lord harihareshwar popular weekend beach destination especially people mumbai pune,october to march,maharashtra,8,"['surrounded', 'four', 'hills', 'river', 'savitri', 'flowing', 'town', 'harihareshwar', 'famous', 'temple', 'lord', 'harihareshwar', 'popular', 'weekend', 'beach', 'destination', 'especially', 'people', 'mumbai', 'pune']"
ratanwadi,5.0,ratanwadi village near bhandardara kalsubai peak maharashtra houses famous ratangad fort popular shiva temple called amruteshwar famous trekking spot far main town rustic charm,september to may,maharashtra,3,"['ratanwadi', 'village', 'near', 'bhandardara', 'kalsubai', 'peak', 'maharashtra', 'houses', 'famous', 'ratangad', 'fort', 'popular', 'shiva', 'temple', 'called', 'amruteshwar', 'famous', 'trekking', 'spot', 'far', 'main', 'town', 'rustic', 'charm']"
manori,4.3,manori beach along gorai beach growing favourite among back packers people want cross peace quiet country side,throughout the year,maharashtra,9,"['manori', 'beach', 'along', 'gorai', 'beach', 'growing', 'favourite', 'among', 'back', 'packers', 'people', 'want', 'cross', 'peace', 'quiet', 'country', 'side']"
chiplun,4.5,quiet far away city port district ratnagiri maharashtra lies chiplun city offers time among mango groves next beautiful lake vashishti town known white sand beaches beautiful mango cashew groves vashishti river,july to february,maharashtra,11,"['quiet', 'far', 'away', 'city', 'port', 'district', 'ratnagiri', 'maharashtra', 'lies', 'chiplun', 'city', 'offers', 'time', 'among', 'mango', 'groves', 'next', 'beautiful', 'lake', 'vashishti', 'town', 'known', 'white', 'sand', 'beaches', 'beautiful', 'mango', 'cashew', 'groves', 'vashishti', 'river']"
chikhaldara,4.4,scent coffee enchants enter hill station city chikhaldara state maharashtra coffee growing area region chikhaldara also boasts beautiful lakes breathtaking panoramic viewpoints exotic wildlife,july to february,maharashtra,12,"['scent', 'coffee', 'enchants', 'enter', 'hill', 'station', 'city', 'chikhaldara', 'state', 'maharashtra', 'coffee', 'growing', 'area', 'region', 'chikhaldara', 'also', 'boasts', 'beautiful', 'lakes', 'breathtaking', 'panoramic', 'viewpoints', 'exotic', 'wildlife']"
ratnagiri,4.6,situated pretty surroundings ratnagiri blessed hills sea shores creeks beautiful rivers hot water springs forests water falls offers rejuvenating experience travelers,october to march,maharashtra,29,"['situated', 'pretty', 'surroundings', 'ratnagiri', 'blessed', 'hills', 'sea', 'shores', 'creeks', 'beautiful', 'rivers', 'hot', 'water', 'springs', 'forests', 'water', 'falls', 'offers', 'rejuvenating', 'experience', 'travelers']"
panvel,3.5,best known gateway konkan coast panvel crowded locality raigad district maharashtra located distance 40kms mumbai metropolitan region panvel highly populated known forts raigad khopoli also karnala fort popular,july to february,maharashtra,8,"['best', 'known', 'gateway', 'konkan', 'coast', 'panvel', 'crowded', 'locality', 'raigad', 'district', 'maharashtra', 'located', 'distance', '40kms', 'mumbai', 'metropolitan', 'region', 'panvel', 'highly', 'populated', 'known', 'forts', 'raigad', 'khopoli', 'also', 'karnala', 'fort', 'popular']"
murud janjira,4.1,murud known widespread sandy beaches adorned majestic forts outlined palms coconut trees creating perfect holiday scenery,throughout the year,maharashtra,7,"['murud', 'known', 'widespread', 'sandy', 'beaches', 'adorned', 'majestic', 'forts', 'outlined', 'palms', 'coconut', 'trees', 'creating', 'perfect', 'holiday', 'scenery']"
dapoli,3.8,dapoli situated 215km away mumbai popular tourist destination serves needs kinds travelers known minimahabaleshwar maharashtra owing cool climate throughout year located ratnagiri district famous konkan hill station,june to september,maharashtra,14,"['dapoli', 'situated', '215km', 'away', 'mumbai', 'popular', 'tourist', 'destination', 'serves', 'needs', 'kinds', 'travelers', 'known', 'minimahabaleshwar', 'maharashtra', 'owing', 'cool', 'climate', 'throughout', 'year', 'located', 'ratnagiri', 'district', 'famous', 'konkan', 'hill', 'station']"
malshej ghat,4.2,malshej ghat mountain pass popular hill station nestled western ghats maharashtra numerous lakes waterfalls mountains verdant flora fauna malshej ghat popular among hikers trekkers nature lovers,july to march,maharashtra,4,"['malshej', 'ghat', 'mountain', 'pass', 'popular', 'hill', 'station', 'nestled', 'western', 'ghats', 'maharashtra', 'numerous', 'lakes', 'waterfalls', 'mountains', 'verdant', 'flora', 'fauna', 'malshej', 'ghat', 'popular', 'among', 'hikers', 'trekkers', 'nature', 'lovers']"
imphal,2.6,imphal untouched charm surrounding natural beauty sceneries landscapes well significant history leaving hints past around city,october to apr,manipur,17,"['imphal', 'untouched', 'charm', 'surrounding', 'natural', 'beauty', 'sceneries', 'landscapes', 'well', 'significant', 'history', 'leaving', 'hints', 'past', 'around', 'city']"
thoubal,3.4,well developed city thoubal good holiday destination looking pleasant climate numerous activities,october to may,manipur,5,"['well', 'developed', 'city', 'thoubal', 'good', 'holiday', 'destination', 'looking', 'pleasant', 'climate', 'numerous', 'activities']"
tamenglong,3.0,hilly region ideal setting tourists interested outdoor holidays beauty town unparalleled unusual varieties flora fauna,october to apr,manipur,6,"['hilly', 'region', 'ideal', 'setting', 'tourists', 'interested', 'outdoor', 'holidays', 'beauty', 'town', 'unparalleled', 'unusual', 'varieties', 'flora', 'fauna']"
chandel,4.0,chandel also known lamka tiny scenic district northeastern state manipur one main nine districts state also second least populous situated along lines international border separating india myanmar come kn,october to may,manipur,3,"['chandel', 'also', 'known', 'lamka', 'tiny', 'scenic', 'district', 'northeastern', 'state', 'manipur', 'one', 'main', 'nine', 'districts', 'state', 'also', 'second', 'least', 'populous', 'situated', 'along', 'lines', 'international', 'border', 'separating', 'india', 'myanmar', 'come', 'kn']"
loktak lake and sendra island,4.3,largest fresh water lake country loktak lake sendra island one beautiful attractions state situated 50 km imphal loktak lake situated valley imphal home rivers rivulets run state manipur,,manipur,,"['largest', 'fresh', 'water', 'lake', 'country', 'loktak', 'lake', 'sendra', 'island', 'one', 'beautiful', 'attractions', 'state', 'situated', '50', 'km', 'imphal', 'loktak', 'lake', 'situated', 'valley', 'imphal', 'home', 'rivers', 'rivulets', 'run', 'state', 'manipur']"
moirang,,moirang small town nestled state manipur place seen wars upheavals past beautiful nonetheless moirang famous loktak lake whose serene water home plethora flora fauna place perfect weekend getaway unwind relax,,manipur,,"['moirang', 'small', 'town', 'nestled', 'state', 'manipur', 'place', 'seen', 'wars', 'upheavals', 'past', 'beautiful', 'nonetheless', 'moirang', 'famous', 'loktak', 'lake', 'whose', 'serene', 'water', 'home', 'plethora', 'flora', 'fauna', 'place', 'perfect', 'weekend', 'getaway', 'unwind', 'relax']"
shillong,4.3,nestled amidst pineclad hills shillong capital meghalaya unfolds like picturesque canvas elevation 1496 meters revered scotland east city offers delightful blend captivating landscapes pleasant weather rich traditions shillong derives n,september to may,meghalaya,33,"['nestled', 'amidst', 'pineclad', 'hills', 'shillong', 'capital', 'meghalaya', 'unfolds', 'like', 'picturesque', 'canvas', 'elevation', '1496', 'meters', 'revered', 'scotland', 'east', 'city', 'offers', 'delightful', 'blend', 'captivating', 'landscapes', 'pleasant', 'weather', 'rich', 'traditions', 'shillong', 'derives', 'n']"
cherrapunji,4.5,nestled amidst misty hills meghalaya cherrapunji renowned wettest place earth located approximately 50 kilometers shillong subdivisional town boasts rich tapestry flora natural wonders although mawsynram holds title wettest place cher,october to february,meghalaya,21,"['nestled', 'amidst', 'misty', 'hills', 'meghalaya', 'cherrapunji', 'renowned', 'wettest', 'place', 'earth', 'located', 'approximately', '50', 'kilometers', 'shillong', 'subdivisional', 'town', 'boasts', 'rich', 'tapestry', 'flora', 'natural', 'wonders', 'although', 'mawsynram', 'holds', 'title', 'wettest', 'place', 'cher']"
dawki,4.2,dawki nestled jaintia hills district meghalaya india emerged soughtafter destination adventurers craving untouched landscapes renowned surreal scenery town boasts mesmerizing umngot river celebrated crystalclear waters afford view,october - april,meghalaya,,"['dawki', 'nestled', 'jaintia', 'hills', 'district', 'meghalaya', 'india', 'emerged', 'soughtafter', 'destination', 'adventurers', 'craving', 'untouched', 'landscapes', 'renowned', 'surreal', 'scenery', 'town', 'boasts', 'mesmerizing', 'umngot', 'river', 'celebrated', 'crystalclear', 'waters', 'afford', 'view']"
mawsynram,4.3,mawsynram situated east khasi hills district meghalaya holds distinction wettest place earth breathtaking landscapes recordbreaking rainfall mawsynram offers unique destination adventurous travelers located approximately 65 kilometers,june - august; november - february,meghalaya,7,"['mawsynram', 'situated', 'east', 'khasi', 'hills', 'district', 'meghalaya', 'holds', 'distinction', 'wettest', 'place', 'earth', 'breathtaking', 'landscapes', 'recordbreaking', 'rainfall', 'mawsynram', 'offers', 'unique', 'destination', 'adventurous', 'travelers', 'located', 'approximately', '65', 'kilometers']"
double decker living root bridge,4.7,hidden deep lush green forests wettest place india cherrapunjee meghalaya one find magnificent jingkieng nongriat double decker living root bridge commonly known umshiang double decker living root bridge simply double decker root bridge th,,meghalaya,,"['hidden', 'deep', 'lush', 'green', 'forests', 'wettest', 'place', 'india', 'cherrapunjee', 'meghalaya', 'one', 'find', 'magnificent', 'jingkieng', 'nongriat', 'double', 'decker', 'living', 'root', 'bridge', 'commonly', 'known', 'umshiang', 'double', 'decker', 'living', 'root', 'bridge', 'simply', 'double', 'decker', 'root', 'bridge', 'th']"
mawsmai nongthymmai eco park,4.3,nestled amidst verdant landscapes cherrapunji mawsmai nongthymmai eco park stands serene nature lovers renowned mesmerizing limestone formations lush greenery park offers visitors tranquil retreat away hustle bustle city life highlight,,meghalaya,,"['nestled', 'amidst', 'verdant', 'landscapes', 'cherrapunji', 'mawsmai', 'nongthymmai', 'eco', 'park', 'stands', 'serene', 'nature', 'lovers', 'renowned', 'mesmerizing', 'limestone', 'formations', 'lush', 'greenery', 'park', 'offers', 'visitors', 'tranquil', 'retreat', 'away', 'hustle', 'bustle', 'city', 'life', 'highlight']"
umiam lake,4.3,umiam lake mesmerizing manmade reservoir located distance 15 kilometres north shillong capital northeastern indian state meghalaya lake formed dam constructed generate hydroelectric power scenic umiam lake encircled lush g,,meghalaya,,"['umiam', 'lake', 'mesmerizing', 'manmade', 'reservoir', 'located', 'distance', '15', 'kilometres', 'north', 'shillong', 'capital', 'northeastern', 'indian', 'state', 'meghalaya', 'lake', 'formed', 'dam', 'constructed', 'generate', 'hydroelectric', 'power', 'scenic', 'umiam', 'lake', 'encircled', 'lush', 'g']"
umngot river,4.5,umngot river also referred dawki river wah umngot gracefully winds way quaint town dawki nestled base jaintia hills west jaintia hills district meghalaya india renowned unparalleled clarity transparent waters umngot ri,,meghalaya,,"['umngot', 'river', 'also', 'referred', 'dawki', 'river', 'wah', 'umngot', 'gracefully', 'winds', 'way', 'quaint', 'town', 'dawki', 'nestled', 'base', 'jaintia', 'hills', 'west', 'jaintia', 'hills', 'district', 'meghalaya', 'india', 'renowned', 'unparalleled', 'clarity', 'transparent', 'waters', 'umngot', 'ri']"
mawphlang,4.3,mawphlang home meghalayas sacred forest beautiful village situated 25 kilometres away shillong capital city northeast indian state meghalaya village lies district east khasi hills famous sacred groves village named mawphlang,,meghalaya,,"['mawphlang', 'home', 'meghalayas', 'sacred', 'forest', 'beautiful', 'village', 'situated', '25', 'kilometres', 'away', 'shillong', 'capital', 'city', 'northeast', 'indian', 'state', 'meghalaya', 'village', 'lies', 'district', 'east', 'khasi', 'hills', 'famous', 'sacred', 'groves', 'village', 'named', 'mawphlang']"
krang suri falls,,krang suri waterfall nestled amidst mountains meghalaya renowned breathtaking beauty tranquil ambiance situated near jowai natural wonder captivates visitors crystalclear turquoise waters cascading rugged cliffs framed lush greenery journey,,meghalaya,,"['krang', 'suri', 'waterfall', 'nestled', 'amidst', 'mountains', 'meghalaya', 'renowned', 'breathtaking', 'beauty', 'tranquil', 'ambiance', 'situated', 'near', 'jowai', 'natural', 'wonder', 'captivates', 'visitors', 'crystalclear', 'turquoise', 'waters', 'cascading', 'rugged', 'cliffs', 'framed', 'lush', 'greenery', 'journey']"
elephant falls,4.3,named elephant like stone foot elephant falls amongst popular falls northeast situated next shillong tourists paradise three layers falls accessible layman different vantage points britishers named fall,,meghalaya,,"['named', 'elephant', 'like', 'stone', 'foot', 'elephant', 'falls', 'amongst', 'popular', 'falls', 'northeast', 'situated', 'next', 'shillong', 'tourists', 'paradise', 'three', 'layers', 'falls', 'accessible', 'layman', 'different', 'vantage', 'points', 'britishers', 'named', 'fall']"
trekking in meghalaya,,owing beauty british nicknamed scotland east trekking meghalaya best way explore place trekking across wonders like shillong mawphlang cherrapunjee among others soothing soulful experience shouldnt miss heres ultimate guide treks,,meghalaya,,"['owing', 'beauty', 'british', 'nicknamed', 'scotland', 'east', 'trekking', 'meghalaya', 'best', 'way', 'explore', 'place', 'trekking', 'across', 'wonders', 'like', 'shillong', 'mawphlang', 'cherrapunjee', 'among', 'others', 'soothing', 'soulful', 'experience', 'shouldnt', 'miss', 'heres', 'ultimate', 'guide', 'treks']"
nohsngithiang falls,4.2,nohsngithiang falls located distance 4km cherrapunjee one tallest waterfalls india major tourist spot cherrapunjee since situated mawsmai village east khasi hills district meghalaya also known mawsmai falls nohsngi,,meghalaya,,"['nohsngithiang', 'falls', 'located', 'distance', '4km', 'cherrapunjee', 'one', 'tallest', 'waterfalls', 'india', 'major', 'tourist', 'spot', 'cherrapunjee', 'since', 'situated', 'mawsmai', 'village', 'east', 'khasi', 'hills', 'district', 'meghalaya', 'also', 'known', 'mawsmai', 'falls', 'nohsngi']"
mawlynnong,4.3,mawlynnong small village situated around 90 km shillong east khasi hills meghalaya also known gods garden declared cleanest village asia 2003 discovery india certainly makes one popular tourist destinations,,meghalaya,,"['mawlynnong', 'small', 'village', 'situated', 'around', '90', 'km', 'shillong', 'east', 'khasi', 'hills', 'meghalaya', 'also', 'known', 'gods', 'garden', 'declared', 'cleanest', 'village', 'asia', '2003', 'discovery', 'india', 'certainly', 'makes', 'one', 'popular', 'tourist', 'destinations']"
mawlyngbna,4.2,mawlyngbna village situated picturesque kilometers south mawsynram shares hilltop three others offering mesmerizing views rolling khasi hills blending plains bangladesh rainblessed village known warm welcoming locals gained popu,,meghalaya,,"['mawlyngbna', 'village', 'situated', 'picturesque', 'kilometers', 'south', 'mawsynram', 'shares', 'hilltop', 'three', 'others', 'offering', 'mesmerizing', 'views', 'rolling', 'khasi', 'hills', 'blending', 'plains', 'bangladesh', 'rainblessed', 'village', 'known', 'warm', 'welcoming', 'locals', 'gained', 'popu']"
mawjymbuin cave,,mawjymbuin cave situated mawjymbuin village mawsynram wettest place earth cherrapunji religiously significant site made calcareous sandstones numerous stalagmites formed result calcium carbonate depositions weathering dripping mineral enr,,meghalaya,,"['mawjymbuin', 'cave', 'situated', 'mawjymbuin', 'village', 'mawsynram', 'wettest', 'place', 'earth', 'cherrapunji', 'religiously', 'significant', 'site', 'made', 'calcareous', 'sandstones', 'numerous', 'stalagmites', 'formed', 'result', 'calcium', 'carbonate', 'depositions', 'weathering', 'dripping', 'mineral', 'enr']"
nohkalikai waterfalls,4.3,fourth highest waterfalls world nohkalikai falls plunge 335 meters verdant cliff ground giving portrayal immense natural magnificence pride state meghalaya falls one beautiful grand waterfalls country tucked,,meghalaya,,"['fourth', 'highest', 'waterfalls', 'world', 'nohkalikai', 'falls', 'plunge', '335', 'meters', 'verdant', 'cliff', 'ground', 'giving', 'portrayal', 'immense', 'natural', 'magnificence', 'pride', 'state', 'meghalaya', 'falls', 'one', 'beautiful', 'grand', 'waterfalls', 'country', 'tucked']"
shillong peak,4.2,height 6449 ft 1965 sea level shillong peak highest point shillong offers breathtaking panoramic view entire city himalayas waterfalls well bangladesh plains telescope available tourists get birds eye view trekking,,meghalaya,,"['height', '6449', 'ft', '1965', 'sea', 'level', 'shillong', 'peak', 'highest', 'point', 'shillong', 'offers', 'breathtaking', 'panoramic', 'view', 'entire', 'city', 'himalayas', 'waterfalls', 'well', 'bangladesh', 'plains', 'telescope', 'available', 'tourists', 'get', 'birds', 'eye', 'view', 'trekking']"
mawphlang sacred forest,,mawphlang sacred forest nestled east khasi hills district meghalaya india revered site steeped history spirituality spread across approximately 78 hectares ancient forest considered one sacred groves region serving sanctuary indigen,,meghalaya,,"['mawphlang', 'sacred', 'forest', 'nestled', 'east', 'khasi', 'hills', 'district', 'meghalaya', 'india', 'revered', 'site', 'steeped', 'history', 'spirituality', 'spread', 'across', 'approximately', '78', 'hectares', 'ancient', 'forest', 'considered', 'one', 'sacred', 'groves', 'region', 'serving', 'sanctuary', 'indigen']"
jowai,4.5,located jaintia hills district jowai located distance 66 kms shillong famous bucolic setting breathtaking views perfect mix heritage culture jowai much like cherrapunji prides destination much loved scenic drive,october to mid may,meghalaya,12,"['located', 'jaintia', 'hills', 'district', 'jowai', 'located', 'distance', '66', 'kms', 'shillong', 'famous', 'bucolic', 'setting', 'breathtaking', 'views', 'perfect', 'mix', 'heritage', 'culture', 'jowai', 'much', 'like', 'cherrapunji', 'prides', 'destination', 'much', 'loved', 'scenic', 'drive']"
mawsmai cave,4.3,meghalaya home amazing mysterious cave systems mawsmai cave far popular lot located 6 km away heart cherrapunjee mawsmai cave breathtaking maze caves east khasi hills meghalaya well lit caves view behold,,meghalaya,,"['meghalaya', 'home', 'amazing', 'mysterious', 'cave', 'systems', 'mawsmai', 'cave', 'far', 'popular', 'lot', 'located', '6', 'km', 'away', 'heart', 'cherrapunjee', 'mawsmai', 'cave', 'breathtaking', 'maze', 'caves', 'east', 'khasi', 'hills', 'meghalaya', 'well', 'lit', 'caves', 'view', 'behold']"
