visit_places,rating,city_names,visit_place_summary,distance_from_city_center,tokenized_summary
thumpachi kalveri samuchayam,3.1,idukki,thumpachi kalveri samuchayam serene picnic spot located idukki district kerala nestled 35 km away thoddupuzha situated amidst verdant hills dense forests western ghats scenic destination offers visitors tranquil retreat amidst natures bounty thumpachi kalveri renowned natural beauty lush greenery cascading waterfalls picturesque landscapes captivate senses,35,"['thumpachi', 'kalveri', 'samuchayam', 'serene', 'picnic', 'spot', 'located', 'idukki', 'district', 'kerala', 'nestled', '35', 'km', 'away', 'thoddupuzha', 'situated', 'amidst', 'verdant', 'hills', 'dense', 'forests', 'western', 'ghats', 'scenic', 'destination', 'offers', 'visitors', 'tranquil', 'retreat', 'amidst', 'natures', 'bounty', 'thumpachi', 'kalveri', 'renowned', 'natural', 'beauty', 'lush', 'greenery', 'cascading', 'waterfalls', 'picturesque', 'landscapes', 'captivate', 'senses']"
ayyapancoil hanging bridge,,idukki,bridge one kind attracts numerous tourists daily basis ayyapancoil hanging bridge one longest hanging bridges kerala region surrounding bridge captivating pleasant makes place perfect getaway spot weekend unplanned holiday hanging bridge stimulating watch exciting take stroll engineering wonder also happens least explored place area surrounds bridge visited lot tourists thereby making retain natural beauty till date,14,"['bridge', 'one', 'kind', 'attracts', 'numerous', 'tourists', 'daily', 'basis', 'ayyapancoil', 'hanging', 'bridge', 'one', 'longest', 'hanging', 'bridges', 'kerala', 'region', 'surrounding', 'bridge', 'captivating', 'pleasant', 'makes', 'place', 'perfect', 'getaway', 'spot', 'weekend', 'unplanned', 'holiday', 'hanging', 'bridge', 'stimulating', 'watch', 'exciting', 'take', 'stroll', 'engineering', 'wonder', 'also', 'happens', 'least', 'explored', 'place', 'area', 'surrounds', 'bridge', 'visited', 'lot', 'tourists', 'thereby', 'making', 'retain', 'natural', 'beauty', 'till', 'date']"
malankara dam,,idukki,situated near thodupuzhamoolamattom road reservoir also famous tourist spot dam remains open tourists throughout year perfect place fishing boating park covering 15 acre land situated near reservoir construction,46,"['situated', 'near', 'thodupuzhamoolamattom', 'road', 'reservoir', 'also', 'famous', 'tourist', 'spot', 'dam', 'remains', 'open', 'tourists', 'throughout', 'year', 'perfect', 'place', 'fishing', 'boating', 'park', 'covering', '15', 'acre', 'land', 'situated', 'near', 'reservoir', 'construction']"
valara waterfalls,,idukki,situated adimali neriamangalam valara waterfalls one enchanting amazing tourist spots region valara comprises chain waterfalls surrounding lush green forests home variety animals birds situated 42 km away munnar flawless look fabulous views gushing waterfall makes place definitely worth visiting,48,"['situated', 'adimali', 'neriamangalam', 'valara', 'waterfalls', 'one', 'enchanting', 'amazing', 'tourist', 'spots', 'region', 'valara', 'comprises', 'chain', 'waterfalls', 'surrounding', 'lush', 'green', 'forests', 'home', 'variety', 'animals', 'birds', 'situated', '42', 'km', 'away', 'munnar', 'flawless', 'look', 'fabulous', 'views', 'gushing', 'waterfall', 'makes', 'place', 'definitely', 'worth', 'visiting']"
anchuruli waterfalls,,idukki,situated amongst gushing locations western ghats land providing enchanting view semievergreen forests grasslands anchuruli waterfalls surreal location definitely worth visiting water comes erattayar river used idukki hydroelectric project tunnel 2 km long passes erattayar anchuruli carrying water lake,9,"['situated', 'amongst', 'gushing', 'locations', 'western', 'ghats', 'land', 'providing', 'enchanting', 'view', 'semievergreen', 'forests', 'grasslands', 'anchuruli', 'waterfalls', 'surreal', 'location', 'definitely', 'worth', 'visiting', 'water', 'comes', 'erattayar', 'river', 'used', 'idukki', 'hydroelectric', 'project', 'tunnel', '2', 'km', 'long', 'passes', 'erattayar', 'anchuruli', 'carrying', 'water', 'lake']"
cheruthoni dam,,idukki,ideal picnic spot situated idukki district kerala cheruthoni dam 138 tall largest concrete gravity dam close idukki arch dam constructed across periyar river third highest dam country built 1976 part idukki hydroelectric project along two dams namely kulamavu idukki,23,"['ideal', 'picnic', 'spot', 'situated', 'idukki', 'district', 'kerala', 'cheruthoni', 'dam', '138', 'tall', 'largest', 'concrete', 'gravity', 'dam', 'close', 'idukki', 'arch', 'dam', 'constructed', 'across', 'periyar', 'river', 'third', 'highest', 'dam', 'country', 'built', '1976', 'part', 'idukki', 'hydroelectric', 'project', 'along', 'two', 'dams', 'namely', 'kulamavu', 'idukki']"
panchalimedu,,idukki,one exquisite hill stations idukki district kerala panchalimedu provides unearthly atmosphere specialty cold climate refreshing breeze place surrounded captivating set hills refreshes mind body visitors legends believed pandavas came stayed place period exile place got name,31,"['one', 'exquisite', 'hill', 'stations', 'idukki', 'district', 'kerala', 'panchalimedu', 'provides', 'unearthly', 'atmosphere', 'specialty', 'cold', 'climate', 'refreshing', 'breeze', 'place', 'surrounded', 'captivating', 'set', 'hills', 'refreshes', 'mind', 'body', 'visitors', 'legends', 'believed', 'pandavas', 'came', 'stayed', 'place', 'period', 'exile', 'place', 'got', 'name']"
ramakkalmedu,,idukki,exquisite hill station situated idukki district keralatamil nadu state border home number attractions ramakkalmedu mustvisit attraction name broken three words namely ram kal medu referring lord rama rock land according legend place visited lord rama searching wife sita kidnapped ravana king lanka,10,"['exquisite', 'hill', 'station', 'situated', 'idukki', 'district', 'keralatamil', 'nadu', 'state', 'border', 'home', 'number', 'attractions', 'ramakkalmedu', 'mustvisit', 'attraction', 'name', 'broken', 'three', 'words', 'namely', 'ram', 'kal', 'medu', 'referring', 'lord', 'rama', 'rock', 'land', 'according', 'legend', 'place', 'visited', 'lord', 'rama', 'searching', 'wife', 'sita', 'kidnapped', 'ravana', 'king', 'lanka']"
anamudi shola national park,,idukki,located idukki district along western ghats kerala anamudi shola national park remarkable national reserve spread 75 km square plan trek establishment check various attractions within park thoovanam waterfall chinnar river adjacent waterfall pambar river name park nominated status world heritage site unescos world heritage programme,,"['located', 'idukki', 'district', 'along', 'western', 'ghats', 'kerala', 'anamudi', 'shola', 'national', 'park', 'remarkable', 'national', 'reserve', 'spread', '75', 'km', 'square', 'plan', 'trek', 'establishment', 'check', 'various', 'attractions', 'within', 'park', 'thoovanam', 'waterfall', 'chinnar', 'river', 'adjacent', 'waterfall', 'pambar', 'river', 'name', 'park', 'nominated', 'status', 'world', 'heritage', 'site', 'unescos', 'world', 'heritage', 'programme']"
power house falls,,idukki,powerhouse falls situated idukki kerala 35 kms munnar waterfalls height 2000 sea level waterfalls situated way thekkady area around waterfall enclosed tea estates thick vegetation said originating devikulam also known lake goddess,32,"['powerhouse', 'falls', 'situated', 'idukki', 'kerala', '35', 'kms', 'munnar', 'waterfalls', 'height', '2000', 'sea', 'level', 'waterfalls', 'situated', 'way', 'thekkady', 'area', 'around', 'waterfall', 'enclosed', 'tea', 'estates', 'thick', 'vegetation', 'said', 'originating', 'devikulam', 'also', 'known', 'lake', 'goddess']"
mathikettan shola national park,,idukki,located idukki district kerala mathikettan shola national park national reserve forests eravikulam national park pampadam shola national park established initially encourage cardamom plantation declared national park 2003 protect environment ecology flora wildlife stands conservatory wildlife flora alike,,"['located', 'idukki', 'district', 'kerala', 'mathikettan', 'shola', 'national', 'park', 'national', 'reserve', 'forests', 'eravikulam', 'national', 'park', 'pampadam', 'shola', 'national', 'park', 'established', 'initially', 'encourage', 'cardamom', 'plantation', 'declared', 'national', 'park', '2003', 'protect', 'environment', 'ecology', 'flora', 'wildlife', 'stands', 'conservatory', 'wildlife', 'flora', 'alike']"
pampadum shola national park,,idukki,located kerala pampadum shola national park smallest national park state area 1175 km square park managed maintained kerala department forests wildlife owing spectacular biodiversity flora fauna park along westerns ghats parks observed unesco world heritage committee consider world heritage site nominee cloudy weather prevails throughout year park perfect trekking picnics,,"['located', 'kerala', 'pampadum', 'shola', 'national', 'park', 'smallest', 'national', 'park', 'state', 'area', '1175', 'km', 'square', 'park', 'managed', 'maintained', 'kerala', 'department', 'forests', 'wildlife', 'owing', 'spectacular', 'biodiversity', 'flora', 'fauna', 'park', 'along', 'westerns', 'ghats', 'parks', 'observed', 'unesco', 'world', 'heritage', 'committee', 'consider', 'world', 'heritage', 'site', 'nominee', 'cloudy', 'weather', 'prevails', 'throughout', 'year', 'park', 'perfect', 'trekking', 'picnics']"
anamudi peak,,idukki,often called pride kerala anamudi anai mudi peak munnar stands magnificent height 2695 metres sea level literally meaning “ elephants forehead ” peak well known home largest surviving population asian elephants india peak within boundaries eravikulam national park offering plenty opportunities explore flora fauna surroundings,52,"['often', 'called', 'pride', 'kerala', 'anamudi', 'anai', 'mudi', 'peak', 'munnar', 'stands', 'magnificent', 'height', '2695', 'metres', 'sea', 'level', 'literally', 'meaning', '“', 'elephants', 'forehead', '”', 'peak', 'well', 'known', 'home', 'largest', 'surviving', 'population', 'asian', 'elephants', 'india', 'peak', 'within', 'boundaries', 'eravikulam', 'national', 'park', 'offering', 'plenty', 'opportunities', 'explore', 'flora', 'fauna', 'surroundings']"
mattupetti dam,,idukki,mattupetty dam strong gravity dam constructed power generation water conservation located munar hills near anamudi peak dam situated 1700 meters high green valleys pleasant ambience surrounding make captivating site reflection tea gardens water beautiful part dam speed boating organized tourism promotion council district idukki water sports organized include motor boats paddle boats rowboats,40,"['mattupetty', 'dam', 'strong', 'gravity', 'dam', 'constructed', 'power', 'generation', 'water', 'conservation', 'located', 'munar', 'hills', 'near', 'anamudi', 'peak', 'dam', 'situated', '1700', 'meters', 'high', 'green', 'valleys', 'pleasant', 'ambience', 'surrounding', 'make', 'captivating', 'site', 'reflection', 'tea', 'gardens', 'water', 'beautiful', 'part', 'dam', 'speed', 'boating', 'organized', 'tourism', 'promotion', 'council', 'district', 'idukki', 'water', 'sports', 'organized', 'include', 'motor', 'boats', 'paddle', 'boats', 'rowboats']"
pothamedu view point,,idukki,pothamedu view point situated 5 km munnar adorned stretching hills lush green mountains one witness spectacular wide views tea coffee cardamom plantations area ideal place witness beautiful sunrises sunsets idukki arch dam 60 kms away visible viewpoint clear day,39,"['pothamedu', 'view', 'point', 'situated', '5', 'km', 'munnar', 'adorned', 'stretching', 'hills', 'lush', 'green', 'mountains', 'one', 'witness', 'spectacular', 'wide', 'views', 'tea', 'coffee', 'cardamom', 'plantations', 'area', 'ideal', 'place', 'witness', 'beautiful', 'sunrises', 'sunsets', 'idukki', 'arch', 'dam', '60', 'kms', 'away', 'visible', 'viewpoint', 'clear', 'day']"
cheeyappara waterfalls,,idukki,located kochimadurai highway national highway 49 cheeyarappa falls ontheway tourist attraction falls munnar kochi district idukki kerala one largest waterfalls state also known gods country cheyyappara falls sight behold cascading seven tiers stones falls force nature see experience dip toes enjoy,49,"['located', 'kochimadurai', 'highway', 'national', 'highway', '49', 'cheeyarappa', 'falls', 'ontheway', 'tourist', 'attraction', 'falls', 'munnar', 'kochi', 'district', 'idukki', 'kerala', 'one', 'largest', 'waterfalls', 'state', 'also', 'known', 'gods', 'country', 'cheyyappara', 'falls', 'sight', 'behold', 'cascading', 'seven', 'tiers', 'stones', 'falls', 'force', 'nature', 'see', 'experience', 'dip', 'toes', 'enjoy']"
vagamon,,idukki,1100 meters sea far way loud city culture lush greenery serenity gift every visitor vagamon could quiet offbeat hill station kerala away maddening tourist crowds forest lover first place visit vagamon vagamon pine forest major tourist attraction place popular spot movie shootings vagamon forest actually manmade forest created british era,28,"['1100', 'meters', 'sea', 'far', 'way', 'loud', 'city', 'culture', 'lush', 'greenery', 'serenity', 'gift', 'every', 'visitor', 'vagamon', 'could', 'quiet', 'offbeat', 'hill', 'station', 'kerala', 'away', 'maddening', 'tourist', 'crowds', 'forest', 'lover', 'first', 'place', 'visit', 'vagamon', 'vagamon', 'pine', 'forest', 'major', 'tourist', 'attraction', 'place', 'popular', 'spot', 'movie', 'shootings', 'vagamon', 'forest', 'actually', 'manmade', 'forest', 'created', 'british', 'era']"
parunthumpara,,idukki,located idukki district kerala altitude 1200m parunthumpara quiet scenic landscape attracting visitors recently ‘ parunthu ‘ malayalam means eagle ‘ para ’ meaning rock essence describes natural terrain parunthumpara,22,"['located', 'idukki', 'district', 'kerala', 'altitude', '1200m', 'parunthumpara', 'quiet', 'scenic', 'landscape', 'attracting', 'visitors', 'recently', '‘', 'parunthu', '‘', 'malayalam', 'means', 'eagle', '‘', 'para', '’', 'meaning', 'rock', 'essence', 'describes', 'natural', 'terrain', 'parunthumpara']"
kanthalloor,,idukki,kanthalloor beautiful village located idukki district kerala situated distance 330 km state ’ capital trivandrum town peacefully nestled amidst western ghats widely known picturesque landscapes pleasant salubrious climate,22,"['kanthalloor', 'beautiful', 'village', 'located', 'idukki', 'district', 'kerala', 'situated', 'distance', '330', 'km', 'state', '’', 'capital', 'trivandrum', 'town', 'peacefully', 'nestled', 'amidst', 'western', 'ghats', 'widely', 'known', 'picturesque', 'landscapes', 'pleasant', 'salubrious', 'climate']"
vattavada,,idukki,located idukki district vattavada lies rain shadow area western ghats experiencing pleasant climate region around vattavada varies height 4760 ft 8842 ft sea level factors coupled together give vattavada perfect required conditions growth various vegetables fruits wide variety crops grown vattavada unique tourist destination surrounded lavish greenery nature,22,"['located', 'idukki', 'district', 'vattavada', 'lies', 'rain', 'shadow', 'area', 'western', 'ghats', 'experiencing', 'pleasant', 'climate', 'region', 'around', 'vattavada', 'varies', 'height', '4760', 'ft', '8842', 'ft', 'sea', 'level', 'factors', 'coupled', 'together', 'give', 'vattavada', 'perfect', 'required', 'conditions', 'growth', 'various', 'vegetables', 'fruits', 'wide', 'variety', 'crops', 'grown', 'vattavada', 'unique', 'tourist', 'destination', 'surrounded', 'lavish', 'greenery', 'nature']"
kuttikkanam,,idukki,kuttikkanam hill station located idukki district kerala india lies within territory peermade located 3500 feet sea level famous tea coffee plantations grow area full scale green hills number animals spotted alongside various species fauna pleasant climate add positives,25,"['kuttikkanam', 'hill', 'station', 'located', 'idukki', 'district', 'kerala', 'india', 'lies', 'within', 'territory', 'peermade', 'located', '3500', 'feet', 'sea', 'level', 'famous', 'tea', 'coffee', 'plantations', 'grow', 'area', 'full', 'scale', 'green', 'hills', 'number', 'animals', 'spotted', 'alongside', 'various', 'species', 'fauna', 'pleasant', 'climate', 'add', 'positives']"
kalvari mount,,idukki,located kattapana idukki road kalvari mount popular hillock popular christian pilgrimage site situated 5 km outskirts city idukki also known kalyanathandu vantage point perched height 20 boasts scenic sunrise sunset views die besides enthralled stunning panoramic vistas gorgeous valley also idukki dam get lucky might also able spot herds elephants bathing lakes,17,"['located', 'kattapana', 'idukki', 'road', 'kalvari', 'mount', 'popular', 'hillock', 'popular', 'christian', 'pilgrimage', 'site', 'situated', '5', 'km', 'outskirts', 'city', 'idukki', 'also', 'known', 'kalyanathandu', 'vantage', 'point', 'perched', 'height', '20', 'boasts', 'scenic', 'sunrise', 'sunset', 'views', 'die', 'besides', 'enthralled', 'stunning', 'panoramic', 'vistas', 'gorgeous', 'valley', 'also', 'idukki', 'dam', 'get', 'lucky', 'might', 'also', 'able', 'spot', 'herds', 'elephants', 'bathing', 'lakes']"
chathurangapara viewpoint,,idukki,located border tamil nadu kerala chathurangapara hilltop viewpoint idukki district kerala viewpoint nature lovers paradise surrounded windmills chathurangapara provides panorama entire idukki hill station viewpoint open 24hrs day best visit either around sunrise sunset sky mountains merge one another,32,"['located', 'border', 'tamil', 'nadu', 'kerala', 'chathurangapara', 'hilltop', 'viewpoint', 'idukki', 'district', 'kerala', 'viewpoint', 'nature', 'lovers', 'paradise', 'surrounded', 'windmills', 'chathurangapara', 'provides', 'panorama', 'entire', 'idukki', 'hill', 'station', 'viewpoint', 'open', '24hrs', 'day', 'best', 'visit', 'either', 'around', 'sunrise', 'sunset', 'sky', 'mountains', 'merge', 'one', 'another']"
suryanelli,,idukki,suryanelli kerala resort town chinnakanal village idukki district located distance around 50 km munnar suryanelli famous tea cardamom plantations stunning vistas mountains waterfalls sunrise forest home many endangered animals including nilgiri marten native,34,"['suryanelli', 'kerala', 'resort', 'town', 'chinnakanal', 'village', 'idukki', 'district', 'located', 'distance', 'around', '50', 'km', 'munnar', 'suryanelli', 'famous', 'tea', 'cardamom', 'plantations', 'stunning', 'vistas', 'mountains', 'waterfalls', 'sunrise', 'forest', 'home', 'many', 'endangered', 'animals', 'including', 'nilgiri', 'marten', 'native']"
kozhikode beach,4.5,kozhikode,kozhikode beach also known calicut beach situated malabar coast beach road named gandhi road mahatma gandhi paid visit calicut 1934 place always prominent hosting public meetings long drive beypore south kappad north,1,"['kozhikode', 'beach', 'also', 'known', 'calicut', 'beach', 'situated', 'malabar', 'coast', 'beach', 'road', 'named', 'gandhi', 'road', 'mahatma', 'gandhi', 'paid', 'visit', 'calicut', '1934', 'place', 'always', 'prominent', 'hosting', 'public', 'meetings', 'long', 'drive', 'beypore', 'south', 'kappad', 'north']"
kozhippara falls,4.0,kozhikode,easily accessible roads kozhippara falls situated borders kakkadampoyil malappuram calicut district divide malappuram district providing stunning sight falls best known swimming bird watching jungle trekking also known kakkadampoyil waterfall kozhippara waterfall located kuthradampuzha river area,38,"['easily', 'accessible', 'roads', 'kozhippara', 'falls', 'situated', 'borders', 'kakkadampoyil', 'malappuram', 'calicut', 'district', 'divide', 'malappuram', 'district', 'providing', 'stunning', 'sight', 'falls', 'best', 'known', 'swimming', 'bird', 'watching', 'jungle', 'trekking', 'also', 'known', 'kakkadampoyil', 'waterfall', 'kozhippara', 'waterfall', 'located', 'kuthradampuzha', 'river', 'area']"
kappad beach,4.1,kozhikode,kappad locally known kappakadavu famous beach near kozhikode calicut india portuguese explorer vasco da gama landed 20 may 1498 voyage established sea route europe india heralded arrival permanent route europe india beach also provides activities like paragliding snorkelling surfing,16,"['kappad', 'locally', 'known', 'kappakadavu', 'famous', 'beach', 'near', 'kozhikode', 'calicut', 'india', 'portuguese', 'explorer', 'vasco', 'da', 'gama', 'landed', '20', 'may', '1498', 'voyage', 'established', 'sea', 'route', 'europe', 'india', 'heralded', 'arrival', 'permanent', 'route', 'europe', 'india', 'beach', 'also', 'provides', 'activities', 'like', 'paragliding', 'snorkelling', 'surfing']"
tali maha shiva kshetram,4.2,kozhikode,tali maha shiva kshetram located kozhikode one regions oldest revered temples dedicated lord shiva temple renowned five daily religious ceremonies attracting numerous devotees seeking blessings historical cultural significance makes key spiritual site kozhikode especially malayalam new year temple festive best,1,"['tali', 'maha', 'shiva', 'kshetram', 'located', 'kozhikode', 'one', 'regions', 'oldest', 'revered', 'temples', 'dedicated', 'lord', 'shiva', 'temple', 'renowned', 'five', 'daily', 'religious', 'ceremonies', 'attracting', 'numerous', 'devotees', 'seeking', 'blessings', 'historical', 'cultural', 'significance', 'makes', 'key', 'spiritual', 'site', 'kozhikode', 'especially', 'malayalam', 'new', 'year', 'temple', 'festive', 'best']"
beypore beach,4.5,kozhikode,beypore beach beautiful beach western coastline india located 10 kilometres kozhikode gods country kerala beach located mouth river chaliyar famous beach destination across world beautiful skies pristine sea long stretch golden sand tall coconut trees make fabulous vacation destination kerala,11,"['beypore', 'beach', 'beautiful', 'beach', 'western', 'coastline', 'india', 'located', '10', 'kilometres', 'kozhikode', 'gods', 'country', 'kerala', 'beach', 'located', 'mouth', 'river', 'chaliyar', 'famous', 'beach', 'destination', 'across', 'world', 'beautiful', 'skies', 'pristine', 'sea', 'long', 'stretch', 'golden', 'sand', 'tall', 'coconut', 'trees', 'make', 'fabulous', 'vacation', 'destination', 'kerala']"
sweet street (mithai theravu),4.3,kozhikode,sweet street locally known mithai theravu famous culinary destination kozhikode kerala renowned traditional sweets snacks lined shops offering local delicacies like famous kozhikode halwa banana chips regional treats street paradise food lovers,1,"['sweet', 'street', 'locally', 'known', 'mithai', 'theravu', 'famous', 'culinary', 'destination', 'kozhikode', 'kerala', 'renowned', 'traditional', 'sweets', 'snacks', 'lined', 'shops', 'offering', 'local', 'delicacies', 'like', 'famous', 'kozhikode', 'halwa', 'banana', 'chips', 'regional', 'treats', 'street', 'paradise', 'food', 'lovers']"
backwaters in kozhikode,4.3,kozhikode,located northern side scenic state kerala kozhikode always popular destination backwaters backwaters distinctive feature area generously blessed abundant natural beauty dense greenery exotic flora fauna palmfringed rivulets lakes canals kozhikode decked engaging beauty,3,"['located', 'northern', 'side', 'scenic', 'state', 'kerala', 'kozhikode', 'always', 'popular', 'destination', 'backwaters', 'backwaters', 'distinctive', 'feature', 'area', 'generously', 'blessed', 'abundant', 'natural', 'beauty', 'dense', 'greenery', 'exotic', 'flora', 'fauna', 'palmfringed', 'rivulets', 'lakes', 'canals', 'kozhikode', 'decked', 'engaging', 'beauty']"
mananchira lake,4.0,kozhikode,mananchira lake located heart kozhikode kerala serene freshwater manmade lake spanning 349 acres fed natural spring originally bathing pool 14thcentury ruler zamorin mana vikrama today lake surrounded beautifully landscaped park offering peaceful retreat locals tourists lush greenery historic significance,0,"['mananchira', 'lake', 'located', 'heart', 'kozhikode', 'kerala', 'serene', 'freshwater', 'manmade', 'lake', 'spanning', '349', 'acres', 'fed', 'natural', 'spring', 'originally', 'bathing', 'pool', '14thcentury', 'ruler', 'zamorin', 'mana', 'vikrama', 'today', 'lake', 'surrounded', 'beautifully', 'landscaped', 'park', 'offering', 'peaceful', 'retreat', 'locals', 'tourists', 'lush', 'greenery', 'historic', 'significance']"
pazhassiraja museum,4.3,kozhikode,pazhassiraja museum kozhikode located east hill named renowned kerala varma pazhassi raja kottayam royal family museum notable impressive collection archaeological artifacts including ancient bronzes historical paintings unique umbrella stones provides rich insight regions cultural historical heritage making mustvisit history enthusiasts,4,"['pazhassiraja', 'museum', 'kozhikode', 'located', 'east', 'hill', 'named', 'renowned', 'kerala', 'varma', 'pazhassi', 'raja', 'kottayam', 'royal', 'family', 'museum', 'notable', 'impressive', 'collection', 'archaeological', 'artifacts', 'including', 'ancient', 'bronzes', 'historical', 'paintings', 'unique', 'umbrella', 'stones', 'provides', 'rich', 'insight', 'regions', 'cultural', 'historical', 'heritage', 'making', 'mustvisit', 'history', 'enthusiasts']"
kadalundi bird sanctuary,4.1,kozhikode,spread cluster islands surrounded beautiful hillocks lies bird watchers planet kadalundi bird sanctuary located kozhikode sanctuary greets visitors freshwaters kadalundi river virgin land home 60 migratory hundred native birds,16,"['spread', 'cluster', 'islands', 'surrounded', 'beautiful', 'hillocks', 'lies', 'bird', 'watchers', 'planet', 'kadalundi', 'bird', 'sanctuary', 'located', 'kozhikode', 'sanctuary', 'greets', 'visitors', 'freshwaters', 'kadalundi', 'river', 'virgin', 'land', 'home', '60', 'migratory', 'hundred', 'native', 'birds']"
focus mall,3.9,kozhikode,centrally situated heart kozhikode city focus mall largest kind supported hilite builders ap group vee kay group sprawling area 250000 square feet five floored mall functions ultra modern techniques provide enriching experience customers,1,"['centrally', 'situated', 'heart', 'kozhikode', 'city', 'focus', 'mall', 'largest', 'kind', 'supported', 'hilite', 'builders', 'ap', 'group', 'vee', 'kay', 'group', 'sprawling', 'area', '250000', 'square', 'feet', 'five', 'floored', 'mall', 'functions', 'ultra', 'modern', 'techniques', 'provide', 'enriching', 'experience', 'customers']"
regional science centre & planetarium,4.0,kozhikode,situated jafferkhan colony kozhikode district kerala regional science centre planetarium functions ncsm government india sprawling vast 4000 square metres land centre aims encouraging propelling science along spreading awareness intimidating science techniques methodologies everyday lives active interaction participation,1,"['situated', 'jafferkhan', 'colony', 'kozhikode', 'district', 'kerala', 'regional', 'science', 'centre', 'planetarium', 'functions', 'ncsm', 'government', 'india', 'sprawling', 'vast', '4000', 'square', 'metres', 'land', 'centre', 'aims', 'encouraging', 'propelling', 'science', 'along', 'spreading', 'awareness', 'intimidating', 'science', 'techniques', 'methodologies', 'everyday', 'lives', 'active', 'interaction', 'participation']"
mishkal palli mosque,3.8,kozhikode,mishkal palli mosque located kuttichira kozhikode historic structure believed built around 700 years ago arab merchant nakhooda mishkal notably mosque lacks minarets setting apart traditional islamic architecture unique design longstanding history make important cultural religious landmark region reflecting kozhikodes rich trade connections arab world,2,"['mishkal', 'palli', 'mosque', 'located', 'kuttichira', 'kozhikode', 'historic', 'structure', 'believed', 'built', 'around', '700', 'years', 'ago', 'arab', 'merchant', 'nakhooda', 'mishkal', 'notably', 'mosque', 'lacks', 'minarets', 'setting', 'apart', 'traditional', 'islamic', 'architecture', 'unique', 'design', 'longstanding', 'history', 'make', 'important', 'cultural', 'religious', 'landmark', 'region', 'reflecting', 'kozhikodes', 'rich', 'trade', 'connections', 'arab', 'world']"
beypore,4.2,kozhikode,beypore cosy coastal town tucked away small striking kozhikode district located mouth energetic chaliyar river town covered vibrant shades green surrounded mystic shades blue reign tipu sultan ruler mysore town named sultan pattanam,9,"['beypore', 'cosy', 'coastal', 'town', 'tucked', 'away', 'small', 'striking', 'kozhikode', 'district', 'located', 'mouth', 'energetic', 'chaliyar', 'river', 'town', 'covered', 'vibrant', 'shades', 'green', 'surrounded', 'mystic', 'shades', 'blue', 'reign', 'tipu', 'sultan', 'ruler', 'mysore', 'town', 'named', 'sultan', 'pattanam']"
art gallery,4.0,kozhikode,art gallery kozhikode mustvisit art enthusiasts especially admire works raja ravi varma gallery showcases indianthemed paintings executed western style oil canvas capturing essence european realism visitors explore collection lifelike portraits mythological depictions offering unique blend traditional indian subjects western artistic techniques,4,"['art', 'gallery', 'kozhikode', 'mustvisit', 'art', 'enthusiasts', 'especially', 'admire', 'works', 'raja', 'ravi', 'varma', 'gallery', 'showcases', 'indianthemed', 'paintings', 'executed', 'western', 'style', 'oil', 'canvas', 'capturing', 'essence', 'european', 'realism', 'visitors', 'explore', 'collection', 'lifelike', 'portraits', 'mythological', 'depictions', 'offering', 'unique', 'blend', 'traditional', 'indian', 'subjects', 'western', 'artistic', 'techniques']"
sargaalaya kerala arts & crafts village,4.1,kozhikode,located near beautiful backwaters iringal near vadakara kozhikode district kerala sargaalaya kerala arts crafts village wonderful initiative department tourism kerala exquisite blend brilliant hand crafted designs age old traditions centre boasts rich craftsmanship displays incredible handiworks local artisans,39,"['located', 'near', 'beautiful', 'backwaters', 'iringal', 'near', 'vadakara', 'kozhikode', 'district', 'kerala', 'sargaalaya', 'kerala', 'arts', 'crafts', 'village', 'wonderful', 'initiative', 'department', 'tourism', 'kerala', 'exquisite', 'blend', 'brilliant', 'hand', 'crafted', 'designs', 'age', 'old', 'traditions', 'centre', 'boasts', 'rich', 'craftsmanship', 'displays', 'incredible', 'handiworks', 'local', 'artisans']"
sarovaram bio park,4.1,kozhikode,located kottooli near kozhikode sarovaram bio park enthralling venture taken government conserve rich mangrove forests wetlands kerala situated adjacent canoly canal bio reserve developed ecofriendly theme aims preserve protect rich ecosystems biodiversity,2,"['located', 'kottooli', 'near', 'kozhikode', 'sarovaram', 'bio', 'park', 'enthralling', 'venture', 'taken', 'government', 'conserve', 'rich', 'mangrove', 'forests', 'wetlands', 'kerala', 'situated', 'adjacent', 'canoly', 'canal', 'bio', 'reserve', 'developed', 'ecofriendly', 'theme', 'aims', 'preserve', 'protect', 'rich', 'ecosystems', 'biodiversity']"
thusharagiri waterfall,4.2,kozhikode,lying western ghats kozhikode district kerala thusharagiri fall cascades three waterfalls located small tribal village name falls means snow covered mountains trekkers rock climbers find trekking trails towards lakkidi ghat passing thick foliage lush green surroundings offering visitors sheer delight,38,"['lying', 'western', 'ghats', 'kozhikode', 'district', 'kerala', 'thusharagiri', 'fall', 'cascades', 'three', 'waterfalls', 'located', 'small', 'tribal', 'village', 'name', 'falls', 'means', 'snow', 'covered', 'mountains', 'trekkers', 'rock', 'climbers', 'find', 'trekking', 'trails', 'towards', 'lakkidi', 'ghat', 'passing', 'thick', 'foliage', 'lush', 'green', 'surroundings', 'offering', 'visitors', 'sheer', 'delight']"
