visit_places,rating,turist_attration,visit_place_summary,best_time
5. Double Decker Living Root Bridge,"4.7
 /5",5 out of 43  Places to visit in Meghalaya,"Hidden deep in the lush, green forests of the wettest place in India: Cherrapunjee, Meghalaya; one can find the magnificent Jingkieng Nongriat Double Decker Living Root Bridge; more commonly known as the Umshiang Double Decker Living Root Bridge or simply just the Double Decker Root Bridge.  Th...",
6. Mawsmai Nongthymmai Eco Park,"4.3
 /5",6 out of 43  Places to visit in Meghalaya,"Nestled amidst the verdant landscapes of Cherrapunji, Mawsmai Nongthymmai Eco Park stands as a serene haven for nature lovers. Renowned for its mesmerizing limestone formations and lush greenery, the park offers visitors a tranquil retreat away from the hustle and bustle of city life. The highlight ...",
7. Umiam Lake,"4.3
 /5",7 out of 43  Places to visit in Meghalaya,"Umiam Lake, a mesmerizing man-made reservoir, is located at a distance of 15 kilometres north of Shillong which is the capital of the north-eastern Indian state of Meghalaya. The lake was formed after a dam was constructed to generate hydroelectric power. The scenic Umiam Lake is encircled by lush g...",
8. Umngot River,"4.5
 /5",8 out of 43  Places to visit in Meghalaya,"The Umngot River, also referred to as the Dawki River or Wah Umngot, gracefully winds its way through the quaint town of Dawki, nestled at the base of the Jaintia Hills in the West Jaintia Hills district of Meghalaya, India. Renowned for its unparalleled clarity and transparent waters, the Umngot Ri...",
9. Mawphlang,"4.3
 /5",9 out of 43  Places to visit in Meghalaya,"Mawphlang, home to Meghalaya's Sacred Forest, is a beautiful village situated 25 kilometres away from Shillong, the capital city of the north-east Indian state of Meghalaya. The village lies in the district of East Khasi Hills and is famous for its sacred groves. The village is named Mawphlang as it...",
10. Krang Suri Falls,,10 out of 43  Places to visit in Meghalaya,"Krang Suri Waterfall, nestled amidst the mountains of Meghalaya, is renowned for its breathtaking beauty and tranquil ambiance. Situated near Jowai, this natural wonder captivates visitors with its crystal-clear turquoise waters cascading down rugged cliffs, framed by lush greenery. The journey to t...",
11. Elephant Falls,"4.3
 /5",11 out of 43  Places to visit in Meghalaya,"Named after an Elephant like stone at its foot, the Elephant Falls are amongst the most popular falls in the North-East, situated next to Shillong. It is a tourists' paradise with three layers of the falls accessible to the layman from different vantage points. The Britishers named this fall so...",
12. Trekking in Meghalaya,,12 out of 43  Places to visit in Meghalaya,"Owing to its beauty, the British nicknamed it Scotland of the East. Trekking in Meghalaya is the best way to explore the place. Trekking across wonders like Shillong, Mawphlang, Cherrapunjee, among others is a soothing and soulful experience you shouldn't miss. Here's an ultimate guide to treks in M...",
13. Nohsngithiang Falls,"4.2
 /5",13 out of 43  Places to visit in Meghalaya,"The Nohsngithiang Falls, located at a distance of about 4km from Cherrapunjee, is one of the tallest waterfalls in India and a major tourist spot in Cherrapunjee. Since it is situated in the Mawsmai village of the East Khasi Hills District of Meghalaya, it is also known as Mawsmai Falls. The Nohsngi...",
14. Mawlynnong,"4.3
 /5",14 out of 43  Places to visit in Meghalaya,"Mawlynnong is a small village situated around 90 km from Shillong in the East Khasi Hills, Meghalaya and is also known as God's own Garden. It was declared as the cleanest village in Asia in 2003 by Discovery India which certainly which makes it one of the most popular tourist destinations in the In...",
15. Mawlyngbna,"4.2
 /5",15 out of 43  Places to visit in Meghalaya,"Mawlyngbna, a village situated just a few picturesque kilometers south of Mawsynram, shares its hilltop with three others, offering mesmerizing views of the rolling Khasi hills blending into the plains of Bangladesh. This rain-blessed village, known for its warm and welcoming locals, has gained popu...",
16. Mawjymbuin Cave,,16 out of 43  Places to visit in Meghalaya,"Mawjymbuin Cave is situated in Mawjymbuin village in Mawsynram (the wettest place on earth) in Cherrapunji and is a religiously significant site. Made of calcareous sandstones and having numerous stalagmites (formed as a result of calcium carbonate depositions, weathering and dripping of mineral enr...",
17. Nohkalikai Waterfalls,"4.3
 /5",17 out of 43  Places to visit in Meghalaya,"The fourth highest waterfalls in the world, Nohkalikai falls plunge some 335 meters from a verdant cliff to the ground giving the portrayal of immense and natural magnificence. The pride of the state of Meghalaya, the falls are one of the most beautiful and grand waterfalls in the country. Tucked in...",
18. Shillong Peak,"4.2
 /5",18 out of 43  Places to visit in Meghalaya,"At the height of 6449 ft or 1965 m above sea level, Shillong Peak is the highest point of Shillong. It offers a breathtaking panoramic view of the entire city, the Himalayas, its waterfalls as well as of the Bangladesh plains. A telescope is available for tourists to get a bird's eye view. Trekking ...",
19. Mawphlang Sacred Forest,,19 out of 43  Places to visit in Meghalaya,"The Mawphlang Sacred Forest, nestled in the East Khasi Hills district of Meghalaya, India, is a revered site steeped in history and spirituality. Spread across approximately 78 hectares, this ancient forest is considered one of the most sacred groves in the region, serving as a sanctuary for indigen...",
20. Jowai,"4.5
 /5","20 out of 43  Places to visit in Meghalaya
				
		      
		         
		        12  Tourist attractions","Located in the Jaintia Hills district, Jowai located at a distance of 66 Kms from Shillong, is famous for its bucolic setting and breathtaking views with the perfect mix of heritage and culture. Jowai, much like Cherrapunji prides itself in being a destination much loved for a scenic drive...",Best Time:  October to Mid May
21. Mawsmai Cave,"4.3
 /5",21 out of 43  Places to visit in Meghalaya,Meghalaya is home to some amazing and mysterious cave systems and Mawsmai Cave is by far the most popular of the lot. Located just 6 km away from the heart of Cherrapunjee Mawsmai cave is a breathtaking maze of caves in the East Khasi Hills of Meghalaya. The well lit caves are a view to behold when ...,
22. Laitlum Canyons Trek,"4.3
 /5",22 out of 43  Places to visit in Meghalaya,"Perched on the East Khasi Hills, Laitlum Canyons is a less explored but one of the most picturesque tourist and trekking destinations in Shillong. The canyons are located about 21 Kms south of Shillong which is about a half-hour drive away. Literally, translating to 'End of hills', this exotic viewi...",
23. Wah-Kaba Falls,,23 out of 43  Places to visit in Meghalaya,"Wah Kaba Falls, nestled near Cherrapunji in Meghalaya, Northeastern India, is a spectacular waterfall renowned for its dramatic descent from a towering rockface. Plummeting approximately 170–190 meters into a picturesque gorge, the falls offer a breathtaking sight for visitors. According to local le...",
24. Ward's Lake,"4.0
 /5",24 out of 43  Places to visit in Meghalaya,"Lying in the centre of Shillong city, the Ward's Lake, an artificial lake surrounded by a prolific green garden, is a major tourist attraction around which the entire city has been planned. Also known as Pollock's Lake, the mesmerising lake is a popular picnic spot amongst the locals and travellers ...",
25. Nongpoh,"3.7
 /5","25 out of 43  Places to visit in Meghalaya
				
		      
		         
		        6  Tourist attractions","Nongpoh, located 60 Kms from Guwahati in Assam and 51 Kms from Shillong is a petite town to be found to the North of the East Khasi Hills. Situated very close to the gorgeous Brahmaputra plains, this location is quite a favourite as a stopover before reaching Shillong from Guwahati.",Best Time:  Throughout the year
26. Balpakram National Park,"3.9
 /5",26 out of 43  Places to visit in Meghalaya,"Located in the southern Garo Hills in Meghalaya, about 167 Kms from Tura, Balpakram National Park lies at an elevation of about 3,000 feet above the sea level. The Park is a famous national park which is well known for its pristine beauty. The word Balpakram means the 'land of perpetual winds', and ...",
27. Williamnagar,"3.9
 /5","27 out of 43  Places to visit in Meghalaya
				
		      
		         
		        6  Tourist attractions","Williamnagar, located 244 Kms from Shillong, was formed around the former town of Simsanggre, which is based on the large plains of the Simsang River. A very remote area usually known for its abundance of natural beauty i.e. being flanked by the mountains and having a rich composition of both water ...",Best Time:  October to February
28. Meghalaya State Museum,"4.0
 /5",28 out of 43  Places to visit in Meghalaya,"Capt. Williamson Sangma State Museum, also known as the Meghalaya State Museum, stands as a testament to the rich cultural tapestry of Meghalaya's tribes, specifically the Khasi, Jaintia, and Garo communities. Established in 1975 and named after the pioneering Captain Williamson Sangma, the museum s...",
29. Baghmara,"3.7
 /5","29 out of 43  Places to visit in Meghalaya
				
		      
		         
		        5  Tourist attractions","Situated 287 kms south of Shillong at the Indo-Bangladesh Border, Baghmara is not only rich in flora and fauna but also boasts many small lakes, rivers and rolling hills. Flanked by the South Garo hills and fed by the Simsang river, this minute town is host to hordes of tourists every year. The Balp...",Best Time:  October to January
30. Kyllang Rock,"3.9
 /5",30 out of 43  Places to visit in Meghalaya,"Some 78 km away from Shillong, a unique giant rock made out of red granite, Kyllang Rock is a giant dome placed in the West Khasi Hills of Meghalaya. The Rock which is 5400 ft above sea level and has a width of around 1000 ft is a mammoth block of granite which is part of the Khasi folklore and seem...",
31. Jaintia HIlls,"3.8
 /5",31 out of 43  Places to visit in Meghalaya,"Part of the former Jaintia Kingdom, the Jaintia Hills is a land of majestic hills filled with rich natural vegetation and mineral deposits. It is situated in Meghalaya and is part of the Patkai hill range that extends across the Indo-Myanmar borders. A relatively smaller hill district as compared to...",Best Time:  March - June
32. Garo Hills,"3.9
 /5",32 out of 43  Places to visit in Meghalaya,"Nestled near the Indo-Bangladesh Border, the Garo Hills form a majestic segment of the Patkai hill range, extending into both India and Myanmar. Named after the indigenous Garo tribe, these hills cover approximately 8,000 square kilometers, boasting lush subtropical forests teeming with rare endemic...",Best Time:  September - May
33. Khasi Hills,"3.8
 /5",33 out of 43  Places to visit in Meghalaya,"Named after the Khasi tribe of Meghalaya, the Khasi Hills form part of the Garo-Khasi range and are a component of the broader Patkai hill range, spanning the Indo-Myanmar border in India's northeast. Characterized by deep valleys and pointed peaks, these hills are renowned for hosting the Sohra or ...",Best Time:  October - April
34. Krem Liat Prah Cave,,34 out of 43  Places to visit in Meghalaya,"Located in Mawsynram, Krem Liat Prah, also known as the ""Cave of the Stone"" in Khasi, stands as one of Meghalaya's most spectacular natural wonders. This expansive limestone cave system, renowned as one of the longest in the Indian subcontinent, offers an awe-inspiring experience for adventurous tra...",
35. Kynrem Falls,,35 out of 43  Places to visit in Meghalaya,"Located approximately 12 kilometers from Cherrapunji in Meghalaya's East Khasi Hills district, Kynrem Falls stands as the pride of Thangkharang Park. As the 7th highest waterfall in Meghalaya, it commands attention with its three-tiered cascades, plummeting from a staggering height of 305 meters. Th...",
36. Arwah Cave,,36 out of 43  Places to visit in Meghalaya,"Nestled within the rugged terrain of Cherrapunji, Arwah Cave offers a captivating glimpse into Meghalaya's geological wonders. Renowned for its unique rock formations and mystical ambiance, this cave beckons adventure seekers and nature enthusiasts alike. With an entrance reminiscent of tales from t...",
37. Tura,"3.7
 /5","37 out of 43  Places to visit in Meghalaya
				
		      
		         
		        9  Tourist attractions","Located in the western part of Meghalaya, as the administrative headquarters of the West Garo Hills district, Tura is an eco-tourist hub of the state. It is located 311 Kms from Shillong and 219 Kms from Guwahati in Assam. As opposed to Shillong, which is growing highly multi-cultural, Tura is relat...",Best Time:  Throughout the year
38. David Scott Trail,"4.0
 /5",38 out of 43  Places to visit in Meghalaya,"Named after David Scott, a British officer, the David Scott Trail is an old and one of the most popular trekking routes in Meghalaya. It is a 16 kilometres long trek that stretches from Mawphlang to Lad Mawphlang, both villages known for their history, culture and folklore. A centerstage of Khasi cu...",
39. Don Bosco Museum,"4.0
 /5",39 out of 43  Places to visit in Meghalaya,"Hailed as Asia's largest Museum of Indigenous Cultures, the Don Bosco Museum is the house of the beautiful culture and tradition of North East India. It is conveniently located in the Mawlai area, near the Police Bazaar. With its seven storeys, it rises into the skyline of Shillong and flaunts 16 la...",
40. Dainthlen Waterfall,"3.9
 /5",40 out of 43  Places to visit in Meghalaya,"Located amidst the rugged terrain of Sohra, Dainthlen Waterfall stands as a majestic testament to nature's raw power, carving its path through hard rocks and high plateaus before descending into the lush forests below. This awe-inspiring cascade holds profound cultural significance for the Khasi tri...",
41. Khasi Monoliths,"3.9
 /5",41 out of 43  Places to visit in Meghalaya,"The Khasi Monoliths are ancient stone formations scattered across the Jaintia Hills in Meghalaya, India. They serve as memorials for deceased kings, warriors, and elders of the Khasi community, featuring cryptic symbols and weathered surfaces. The largest concentration of these monoliths is found in...",
42. Lady Hydari Park,"3.8
 /5",42 out of 43  Places to visit in Meghalaya,"Located conveniently in the Laban area in Shillong is the popular Lady Hydari Park, named after the first lady of the state and wife of the Governor of Assam, Lady Hydari. The first thing that catches your eye when you set foot in this park is that it is built in the form of a Japanese style garden....",
1. Aizawl,"4.2
 /5","1 out of 16  Places to visit in Mizoram
				
		      
		         
		        15  Tourist attractions","Lying at a height of 1132 m above sea level, Aizawl is a quaint city and the capital of the state of Mizoram in northeast India. Primarily dominated by the Mizo Tribe, Aizawl and its surrounding areas are lush with rolling hills and abundant greenery. The city, along with the majority of the state i...",Best Time:  Throughout the year
2. Serchhip,"3.8
 /5","2 out of 16  Places to visit in Mizoram
				
		      
		         
		        4  Tourist attractions","Most famous for being the district with the highest literacy rate in India, Serchhip in Mizoram is a place that can provide you a unique and vibrant experience.",Best Time:  Throughout the year
3. Lunglei,"3.6
 /5","3 out of 16  Places to visit in Mizoram
				
		      
		         
		        2  Tourist attractions","Literally meaning 'the bridge of rock', Lunglei is famous for its scenic beauty and natural setting. It is a small town, located around 170 km south of Aizawl whose name is derived from a bridge shaped rock found along Nghasih which is a tributary of the river Tlawng. Lunglei is an ideal offbeat des...",Best Time:  October to June
4. Champhai,"3.4
 /5","4 out of 16  Places to visit in Mizoram
				
		      
		         
		        3  Tourist attractions",The town of Champhai on the eastern border of Mizoram close to the Indo-Myanmar border is the administrative headquarters of the Champhai district. It is located at a distance of 188 Kms from the capital of Aizawl and is strategically and commercially important for the state of Mizoram as well as fo...,Best Time:  October to June
5. Mamit,"2.8
 /5","5 out of 16  Places to visit in Mizoram
				
		      
		         
		        6  Tourist attractions","The Mamit district is the fourth largest district of the state of Mizoram. The town of Mamit, the administrative headquarters of the district, is located around 95 kms from Aizawl to the west. Known for its exquisite scenic locales and magnificence, don't miss out to add this place in your itinerary...",Best Time:  November to March
6. Saiha,"2.5
 /5","6 out of 16  Places to visit in Mizoram
				
		      
		         
		        2  Tourist attractions","Saiha is known as the fastest growing town in Mizoram, as the population has significantly risen in the last decade. Saiha is a census town in the Saiha district in Mizoram located at an average height of 729 meters above sea level. This town is considered to be a haven for angling enthusiasts.",Best Time:  November to May
7. Kolasib,"2.5
 /5","7 out of 16  Places to visit in Mizoram
				
		      
		         
		        2  Tourist attractions","Among the newer districts and the smallest of the eleven in Mizoram, Kolasib lies in northern Mizoram sharing a border with the Cachar district of Assam. It lies at a distance of 79 Kms north of Aizawl. Like most other districts of Mizoram, Kolasib is bountiful in culture and natural beauty. Tlawng ...",Best Time:  November to March
8. Reiek,"4.2
 /5",8 out of 16  Places to visit in Mizoram,"At a height of 1465 meters, Reiek Tlang or simply Reiek is one of the highest hills of Mizoram. Located at a distance of 29 km away from the city of Aizawl, Reiek Tlang is an excellent viewpoint overlooking panoramic views of Aizawl and the surrounding valley with the backdrop of sceneries borrowed ...",
9. Vantawng Falls,"4.2
 /5",9 out of 16  Places to visit in Mizoram,"The highest waterfall in the state and the 13th highest in the country, the Vantawng Waterfalls is one of he most mesmerizing waterfalls of the North East. Vantawng falls are the pride of Mizoram and one of its prime attractions. The waterfall which is located 137 km away from the capital city of Ai...",
10. Hmuifang,"3.7
 /5",10 out of 16  Places to visit in Mizoram,"One of the most beautiful destinations in Mizoram, Hmuifang or Hmuifang Tlang is an amazing hill station with a lot to offer to the discerning traveller. Located a distance of 50 km from the capital city of Aizawl, Hmuifang is hill town at the heart of the state of Mizoram. The hill station is known...",
11. Dampa Tiger Reserve,"3.7
 /5",11 out of 16  Places to visit in Mizoram,"Dampa Tiger Reserve, a splendid Wildlife Sanctuary, is located amidst the deep and dense forests of Mizoram in India. The forests are located about 125 kilometres from Aizawl and are rich with a variety of flora and fauna that draw tourists and nature lovers to the North-eastern state of India from ...",
12. Tamdil (Tam Lake),"3.7
 /5",12 out of 16  Places to visit in Mizoram,"The largest lake in the state of Mizoram, Tamdil Lake is a human-made lake exclusively to serve as a natural attraction for the state's tourism. Tamdil Lake, which translates into 'Lake of Mustard ' in Mizo, is a beautiful lake with the magnificent landscape, clear, blue water and serene environment...",
13. Falkawn Village,"3.5
 /5",13 out of 16  Places to visit in Mizoram,"A model village depicting the lifestyle of the Mizo people, Falkawn village is a unique cultural extravaganza for first time visitors to Mizoram. Falkawn village depicts the livelihoods and cultures of the Mizo people, who form the biggest tribe of the state. Located 22 km away from the capital city...",
14. Phawngpui Peak,"3.5
 /5",14 out of 16  Places to visit in Mizoram,"The highest point in the state, Phawngpui Peak is a revered mountain among the tribes of the state. The beautiful blue mountain located some 300 km south of Aizawl is a wonderful place to be and to bring out the adventure enthusiast in you. The peak is located within the Phawngpui National Park and ...",
15.  Phawngpui,,15 out of 16  Places to visit in Mizoram,"Phawngpui is a quaint and serene village located in the state of Mizoram. Situated at an elevation of 2157 meters, this place proffers picturesque views. This place is surrounded by verdant trees and lofty mountains which in magnifying the beauty of the landscape. The place does not only have verdan...",
16. Phawngpui National Park,,16 out of 16  Places to visit in Mizoram,"The Phawngpui Blue Mountain National Park or simply Phawngpui National Park is a gorgeous conservatory forest in Mizoram housing several rare animals and birds, adorned in tropical forests. The park overlooks rivers and mountain ranges further adding to its natural beauty and attractiveness. It also...",
1. Kohima,"3.8
 /5","1 out of 13  Places to visit in Nagaland
				
		      
		         
		        11  Tourist attractions","Kohima is the hilly capital of Nagaland, which is one of the seven sister states of India. ‘Kohima’ is the anglicized name given by the British, the original name being 'Kewhira' derived from the Kewhi flowers found in the region. Famous for its ethereal environment and untouched beauty, it is a lan...",Best Time:  October to June
2. Mokokchung,"3.0
 /5","2 out of 13  Places to visit in Nagaland
				
		      
		         
		        7  Tourist attractions",The most significant urban centre in all of Nagaland after Dimapur and Kohima and the home of Ao Naga.,Best Time:  October to June
3. Dimapur,"2.0
 /5","3 out of 13  Places to visit in Nagaland
				
		      
		         
		        9  Tourist attractions","Known to be the largest and fastest growing city of Nagaland, most travellers come to this city in transit because of the airport situated in the city. Some of the few attractions here are: Triple Falls, Kachari Ruins, the Nagaland science center and the zoological park.",Best Time:  October to June
4. Tuensang,"2.5
 /5","4 out of 13  Places to visit in Nagaland
				
		      
		         
		        4  Tourist attractions","Tuensang is the headquarters of the Tuensang district, the easternmost, largest district of Nagaland, and flanked by Myanmar on its right side. It is one of the largest urban centres in Nagaland along with Dimapur, Kohima and Mokokchung, making it a top tourist destination in the state of Nagaland.",Best Time:  March to May
5. Phek,"3.0
 /5","5 out of 13  Places to visit in Nagaland
				
		      
		         
		        5  Tourist attractions","Phek is a hilly area rich in flora and fauna. Apart from the spell bounding hills, Shilloi lake is an important attraction.",Best Time:  October to May
6. Mon,"2.8
 /5","6 out of 13  Places to visit in Nagaland
				
		      
		         
		        5  Tourist attractions","Home of the Konyaks nagas, Mon provides tourists with a unique and quite mesmerizing view of tattooed faces wearing feathery loincloths. The District, with the exception of the foothills, has a difficult terrain with steep slopes. Even though Mon doesn't have a lot of sightseeing points, but it...",Best Time:  October to May
7. Dzukou Valley and Japfu Peak,"4.2
 /5",7 out of 13  Places to visit in Nagaland,"Located some 25 km south of Kohima, Dzukou valley and Japfu Peak offer one of the most breathtaking landscapes of the continent. Nagaland is called the 'Switzerland of the East' and Dzukou valley and Japfu Peak provide solid proof to that moniker. Dzukou valley and Japfu Peak trek is an absolute mus...",
8. Touphema Village,"4.2
 /5",8 out of 13  Places to visit in Nagaland,"On a green and verdant hillock, lies the township called Touphema Village. Built by the local community in partnership with the Tourism Department of Nagaland, Touphema Village is a collection of small huts built and decorated in traditional Naga design sensibilities. The village intends on giving t...",
9. Khonoma Village,"4.0
 /5",9 out of 13  Places to visit in Nagaland,"A town belonging to the 'Angami Naga' ethnic group of Nagaland, Khonoma Village is a one-of-its-kind project in the country. Located about 20 km from the state capital of Kohima, Khonoma village is a Green Village, where all forms of hunting have been abolished for a more sustainable ecosystem. It i...",
10. Shilloi Lake,"4.0
 /5",10 out of 13  Places to visit in Nagaland,"A beautiful foot shaped lake in the heart of the Patkai range of Nagaland, Shilloi Lake is a very picturesque destination with verdant valley surrounding it from all sides. The lake is considered very important by the folks of Latsum village as it is believed that the spirit of a holy child rests in...",
11. Naga Heritage Village,"4.0
 /5",11 out of 13  Places to visit in Nagaland,"A village situated in the outskirts of Kohima, Naga Heritage Village in Kisama seeks to preserve and promote the culture and traditions of the Naga people. The name Kisama itself is an amalgamation of two Naga villages, namely, Kigwema (KI) and Phesama(SA) and MA (Village).",
12. Hornbill Festival,,12 out of 13  Places to visit in Nagaland,"Nagaland is known as the 'Land of Festivals' and one such grand carnival, organized by the State Tourism of Arts and Culture Department, Government of Nagaland is 'Hornbill festival'. Also known as ''Festival of Festivals"", this is a commonly celebrated being a traditional cluste...",
13. Pfutsero,,13 out of 13  Places to visit in Nagaland,"Pfutsero is a small town known for being the coldest inhabited town of Nagaland, dropping below -0°C. At 2,133m amsl, it boasts of highest altitude among towns in Nagaland, Glory Peak being the highest point. The lakes in Pfutsero freeze during winters, adding to the Christmas spirit, a revered fest...",
1. Puri,"4.3
 /5","1 out of 30  Places to visit in Odisha
				
		      
		         
		        29  Tourist attractions",Puri in Odisha is one of the four must-visit pilgrimage sites for Hindus because of Jagannath Temple that forms the part of Char Dham in India. Puri is a beach city located on the coast of Bay of Bengal which is one of the favourites among people of West Bengal for a short trip.,Best Time:  July to March
2. Bhubaneswar,"4.1
 /5","2 out of 30  Places to visit in Odisha
				
		      
		         
		        37  Tourist attractions","Bhubaneswar, the temple city of India, once known for its architecture and grand temples, is presently a thriving centre for commerce and business. Bhubaneshwar is an ancient city replete with beautiful historic temples which attract pilgrims and tourists from all over the country. The name of ...",Best Time:  October to March
3. Konark,"4.2
 /5","3 out of 30  Places to visit in Odisha
				
		      
		         
		        5  Tourist attractions","Konark, in the state of Orissa is renowned world over for the Sun Temple which is also a UNESCO World Heritage Site, the Annual dance festival and its beautiful sandy beaches.",Best Time:  September to March
4. Chilika Lake,"4.2
 /5",4 out of 30  Places to visit in Odisha,"Chilika Lake is the largest internal salt water lake in Asia, it is a paradise on earth for bird watchers and nature lovers. The pear-shaped lake is dotted with a few small islands and has fisheries and salt pans around its shore. The Chilika Lake also houses the most accommodating ecosystems in the...",
5. Udayagiri and Khandagiri Caves,,5 out of 30  Places to visit in Odisha,"Udayagiri mean the mountain of the sunrise, a historical Hindu ritual site home to twenty rock-cut caves near Vidisha, Madhya Pradesh. Vishnu Padagiri is the otherwise known name of the place meaning ""the feet of Vishnu"". They are extensively carved with iconographies of Hindu Gods, namely Vishnu, D...",
6. Cuttack,"3.7
 /5","6 out of 30  Places to visit in Odisha
				
		      
		         
		        5  Tourist attractions","Referred to as the cultural capital of Odisha, Cuttack is a commercial city with plenty of impressive tourist attractions.",Best Time:  July to March
7. Gopalpur,"4.2
 /5","7 out of 30  Places to visit in Odisha
				
		      
		         
		        9  Tourist attractions","In the southern coastline of Odisha just 15 km from the city of Behrampur is located a quaint, tiny town of Gopalpur which was a sea port, bustling with trade and commerce, in the Colonial Era.",Best Time:  November to February
8. Hirakud Dam,"4.2
 /5",8 out of 30  Places to visit in Odisha,"Constructed across the Mahanadi River in Sambalpur, Odisha the Hirakud Dam is hailed as the longest human-made dams in India. Astonishingly, it is over 56km long and is the top pick among the locals as well as tourists to enjoy a refreshing day out. This marvellous piece of architecture construction...",
9. Bhitarkanika National Park,"3.7
 /5",9 out of 30  Places to visit in Odisha,"Bhitarkanika National Park in Odisha, India is a paradise for nature lovers. It is home to some of the most spectacular flora and fauna, and is a great spot for bird and wildlife watching. Located in the Kendrapara district of Odisha, Bhitarkanika is known for its mangrove forests, which are home to...",Best Time:  November - February
10. Satkosia Tiger Reserve,,10 out of 30  Places to visit in Odisha,"The picturesque town of Satkosia, 160 km from Bhubaneswar, boasts of a wildlife sanctuary popularly known as the Satkosia Tiger Reserve since 1976. The sanctuary is home to tigers in the moist, deciduous forests of the Eastern Ghats. It is also home to elephants, birds and other animals that can be ...",
11. Daringbadi,"2.0
 /5",11 out of 30  Places to visit in Odisha,"Daringbadi is a hilly town in Odisha. Hidden a state famous for beaches and temples, this hill station lies peacefully at an elevation of 3000 feet waiting to be explored. Replete with pine trees, coffee gardens and splendid valleys, Daringbadi is known as the “Kashmir of Odisha”. A place where you ...",Best Time:  September to May
12. Tikarpada Wildlife Sanctuary,"3.4
 /5",12 out of 30  Places to visit in Odisha,"The Tikarpada Wildlife Sanctuary spreads across 795.52 square kilometers and does not fail to enthrall its visitors with its overwhelming beauty, lush green surrounding, the ever cherished rambling of River Mahanadi besides the very famous Satkosia gorge and large variety of species of wild animals,...",Best Time:  October to March
13. Talasari Beach,"4.3
 /5",13 out of 30  Places to visit in Odisha,"Located in Baleswar district of Odisha and at a distance of 10 Km from Digha, the Talasari beach is pristine, serene and has been bestowed with spectacular panorama.","Best Time:  October to December, February"
14. Sambalpur,"4.5
 /5","14 out of 30  Places to visit in Odisha
				
		      
		         
		        5  Tourist attractions","Sambalpur is the gateway to the western zone of Orissa. It abounds in prolific rivers, lavish hills, lush green forests and affluent wildlife. It is a beautiful amalgamation of modernity and culture. Holding a significant historical importance, the place also has a flourishing textile and handloom i...",Best Time:  September to March
15. Chandipur,"3.1
 /5","15 out of 30  Places to visit in Odisha
				
		      
		         
		        7  Tourist attractions","Chandipur is a secluded seaside village of Baleshwar district stored safely on the coastline of Orissa. Chandipur is also locally known as Chandipur-on-sea. If nature's wonder fascinates you, Chandipur Beach is an amazing place to be.",Best Time:  November to March
16. Simlipal National Park,"4.1
 /5",16 out of 30  Places to visit in Odisha,"Reflecting the natural beauty of an era gone by, Simlipal National Park is in a beautiful and scenic town in Odisha. Situated in Mayurbhanj, it once used to be a hunting ground for the rulers of the province. Simlipal is the largest wildlife sanctuary in India and is also considered as one of the pr...",
17. Baripada,"3.0
 /5","17 out of 30  Places to visit in Odisha
				
		      
		         
		        6  Tourist attractions","At a distance of 248km from Kolkata and 256km from Bhubaneshwar, Baripada is a city, recognised by its beautiful culture and an essence of purity in nature. Its Rath Yatra is considered the biggest and oldest after Puri and thus Baripada is also known as Dwitiya Srikhetra (Second Puri)",Best Time:  October to June
18. Rourkela,"3.4
 /5","18 out of 30  Places to visit in Odisha
				
		      
		         
		        9  Tourist attractions","Surrounded by hills and rivers, the city of Rourkela is located in the state of Odisha. Popularly called as the 'Steel City of Odisha' and Ispat Nagar, it is one of the first cities of the country to become commercialized for steel production.  Rourkela’s natural positioning in the lap of natur...",Best Time:  October to March
19. Berhampur,"3.5
 /5","19 out of 30  Places to visit in Odisha
				
		      
		         
		        10  Tourist attractions","Berhampur, also known as Brahmapur is known as the home of Lord Brahma and is usually known as the silk city- the city which is famous for the lustrous ikkat silk sarees in different colours and patterns.",Best Time:  October to June
20. Jeypore,"5.0
 /5","20 out of 30  Places to visit in Odisha
				
		      
		         
		        8  Tourist attractions","Jeypore, also spelled Jayepore, is a large city in the state of Odisha and is famous for its fresh water lakes, waterfalls and valleys. Jeypore is home to about 62 affiliated communities such as Gond, Dhruba, Paraja, Koya.",Best Time:  October to February
21. Dhauli,"3.8
 /5","21 out of 30  Places to visit in Odisha
				
		      
		         
		        3  Tourist attractions","Dhauli is a small town 8 Km away south of Bhubaneswar, located on the bank of river Daya and holds great significance for the followers of lord Buddha. Dhauli is said to be the witness of the reform of Ashoka's character.",Best Time:  July to February
22. Rayagada,"5.0
 /5","22 out of 30  Places to visit in Odisha
				
		      
		         
		        7  Tourist attractions","Rayagada is a district in Odisha with a rich history and a distinct culture which has, over the years, mingled with the local tribal culture. This district has many historical places to visit and is known for its cuisine, crafts and handmade products.",Best Time:  November to February
23. Udayagiri and Khandagiri Caves,,23 out of 30  Places to visit in Odisha,"Near Bhubaneswar lie the Udaygiri and Khandagiri Caves, carved around 1st century B.C. by Kharavela and successors. These 18 caves, 13 in Udaygiri and 15 in Khandagiri served as retreats for Jain ascetics seeking solitude.",
24. Sri Jagannath Puri Temple,,24 out of 30  Places to visit in Odisha,"Located in the sacred town of Puri, the Jagannath Temple or the pride of India was built in the 11th century by King Indradyumna. This glorious temple is the abode of Lord Jagannath who is a form of Lord Vishnu. It is the most revered pilgrimage site for Hindus and is included in the pious Char Dham...",
